ID,YEAR,MONTH,ELEMENT,VALUE1,MFLAG1,QFLAG1,SFLAG1,VALUE2,MFLAG2,QFLAG2,SFLAG2,VALUE3,MFLAG3,QFLAG3,SFLAG3,VALUE4,MFLAG4,QFLAG4,SFLAG4,VALUE5,MFLAG5,QFLAG5,SFLAG5,VALUE6,MFLAG6,QFLAG6,SFLAG6,VALUE7,MFLAG7,QFLAG7,SFLAG7,VALUE8,MFLAG8,QFLAG8,SFLAG8,VALUE9,MFLAG9,QFLAG9,SFLAG9,VALUE10,MFLAG10,QFLAG10,SFLAG10,VALUE11,MFLAG11,QFLAG11,SFLAG11,VALUE12,MFLAG12,QFLAG12,SFLAG12,VALUE13,MFLAG13,QFLAG13,SFLAG13,VALUE14,MFLAG14,QFLAG14,SFLAG14,VALUE15,MFLAG15,QFLAG15,SFLAG15,VALUE16,MFLAG16,QFLAG16,SFLAG16,VALUE17,MFLAG17,QFLAG17,SFLAG17,VALUE18,MFLAG18,QFLAG18,SFLAG18,VALUE19,MFLAG19,QFLAG19,SFLAG19,VALUE20,MFLAG20,QFLAG20,SFLAG20,VALUE21,MFLAG21,QFLAG21,SFLAG21,VALUE22,MFLAG22,QFLAG22,SFLAG22,VALUE23,MFLAG23,QFLAG23,SFLAG23,VALUE24,MFLAG24,QFLAG24,SFLAG24,VALUE25,MFLAG25,QFLAG25,SFLAG25,VALUE26,MFLAG26,QFLAG26,SFLAG26,VALUE27,MFLAG27,QFLAG27,SFLAG27,VALUE28,MFLAG28,QFLAG28,SFLAG28,VALUE29,MFLAG29,QFLAG29,SFLAG29,VALUE30,MFLAG30,QFLAG30,SFLAG30,VALUE31,MFLAG31,QFLAG31,SFLAG31
USC00200230,1892,1,TMIN,17,,,6,-100,,,6,-133,,,6,-100,,,6,-150,,,6,-117,,,6,-144,,,6,-133,,,6,-183,,,6,-200,,,6,-122,,,6,-89,,,6,-111,,,6,-139,,,6,-200,,,6,-194,,,6,-117,,,6,-122,,,6,-172,,,6,-222,,,6,-128,,,6,-111,,,6,-72,,,6,-72,,,6,-44,,,6,-156,,,6,-189,,,6,-94,,,6,-17,,,6,-39,,,6,0,,,6
USC00200230,1892,1,PRCP,25,,,6,0,T,,6,-9999,,,,64,,,6,-9999,,,,0,T,,6,0,T,,6,0,T,,6,-9999,,,,0,T,,6,28,,,6,71,,,6,-9999,,,,0,T,,6,-9999,,,,-9999,,,,-9999,,,,0,T,,6,127,,,6,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,-9999,,,,0,T,,6,-9999,,,
USC00200230,1892,1,SNOW,0,,,6,0,,,6,0,,,6,64,,,6,0,,,6,0,,,6,0,,,6,0,,,6,0,,,6,0,,,6,25,,,6,71,,,6,0,,,6,0,,,6,0,,,6,0,,,6,0,,,6,0,,,6,127,,,6,0,,,6,0,,,6,0,,,6,0,,,6,0,,,6,0,,,6,0,,,6,0,,,6,0,,,6,0,,,6,0,,,6,0,,,6
USC00200230,1892,2,TMAX,61,,,6,39,,,6,22,,,6,11,,,6,-17,,,6,11,,,6,78,,,6,22,,,6,0,,,6,6,,,6,6,,,6,-94,,,6,-50,,,6,0,,,6,-6,,,6,-72,,,6,0,,,6,39,,,6,6,,,6,22,,,6,28,,,6,6,,,6,28,,,6,39,,,6,33,,,6,56,,,6,-6,,,6,33,,,6,17,,,6,-9999,,,,-9999,,,
USC00200230,1892,2,TMIN,0,,,6,6,,,6,-22,,,6,-39,,,6,-72,,,6,-117,,,6,-33,,,6,-17,,,6,-78,,,6,-89,,,6,-100,,,6,-144,,,6,-172,,,6,-89,,,6,-144,,,6,-233,,,6,-172,,,6,-33,,,6,-28,,,6,-28,,,6,-11,,,6,0,,,6,-17,,,6,-22,,,6,6,,,6,-44,,,6,-72,,,6,-50,,,6,0,,I,6,-9999,,,,-9999,,,
USC00200230,1892,2,PRCP,0,P,,6,76,,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,102,,,6,0,P,,6,0,P,,6,25,,,6,76,,,6,25,,,6,0,P,,6,76,,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,51,,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,51,,,6,-9999,,,,-9999,,,
USC00200230,1892,2,SNOW,0,,,6,0,,,6,0,,,6,0,,,6,0,,,6,0,,,6,0,,,6,0,,,6,0,,,6,3,,,6,8,,,6,3,,,6,0,,,6,8,,,6,0,,,6,0,,,6,0,,,6,0,,,6,5,,,6,0,,,6,0,,,6,0,,,6,0,,,6,0,,,6,0,,,6,0,,,6,0,,,6,0,,,6,0,,,6,-9999,,,,-9999,,,
USC00200230,1892,3,TMAX,-22,,I,6,-17,,,6,56,,,6,22,,,6,11,,,6,39,,,6,72,,,6,28,,,6,106,,,6,-22,,,6,-28,,,6,56,,,6,-17,,,6,-39,,,6,-39,,,6,-28,,,6,-39,,,6,-44,,,6,-17,,,6,-22,,,6,6,,,6,56,,,6,28,,,6,89,,,6,122,,,6,128,,,6,83,,,6,89,,,6,100,,,6,44,,I,6,128,,,6
USC00200230,1892,3,TMIN,-89,,,6,-117,,,6,-78,,,6,0,,,6,-28,,,6,-44,,,6,-33,,,6,-6,,,6,-33,,,6,-111,,,6,-117,,,6,-56,,,6,-94,,,6,-117,,,6,-122,,,6,-117,,,6,-111,,,6,-111,,,6,-67,,,6,-111,,,6,-117,,,6,-50,,,6,-17,,,6,-39,,,6,-11,,,6,17,,,6,6,,,6,-28,,,6,-22,,,6,6,,,6,61,,I,6
USC00200230,1892,3,PRCP,51,,,6,0,P,,6,0,P,,6,25,,,6,0,P,,6,0,P,,6,0,P,,6,13,,,6,0,T,,6,0,P,,6,0,P,,6,0,P,,6,76,,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,T,,6,0,P,,6,0,P,,6,0,T,,6,89,,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,0,P,,6,38,,,6
USC00200230,1892,3,SNOW,5,,,6,0,,,6,0,,,6,3,,,6,0,,,6,0,,,6,0,,,6,0,,,6,0,,,6,0,,,6,0,,,6,0,,,6,8,,,6,0,,,6,0,,,6,0,,,6,0,,,6,0,,,6,0,,,6,0,,,6,0,,,6,0,,,6,0,,,6,0,,,6,0,,,6,0,,,6,0,,,6,0,,,6,0,,,6,0,,,6,0,,,6
USC00200230,1892,4,TMAX,178,,,6,194,,,6,172,,,6,217,,,6,206,,,6,122,,,6,178,,,6,111,,,6,0,,,6,6,,,6,0,,,6,67,,,6,89,,,6,39,,,6,94,,,6,111,,,6,94,,,6,89,,,6,94,,,6,122,,,6,144,,,6,178,,,6,178,,,6,78,,,6,78,,,6,128,,,6,222,,,6,194,,,6,122,,,6,133,,,6,-9999,,,
USC00200230,1892,4,TMIN,33,,,6,111,,,6,72,,,6,100,,,6,72,,,6,28,,,6,33,,,6,-11,,,6,-61,,,6,-33,,,6,-61,,,6,-44,,,6,-44,,,6,-6,,,6,-33,,,6,0,,,6,22,,,6,-11,,,6,-11,,,6,11,,,6,39,,,6,56,,,6,22,,,6,-28,,,6,-22,,,6,-22,,,6,50,,,6,78,,,6,22,,,6,0,,,6,-9999,,,
